Person ID,Full Name,Street,City,State,Zip,Latitude,Longitude,Phone Number,Referral Count
993705513,"Multi-Specialty Health Care - Camp Springs, Md",5801 Allentown Road,Suitland,MD,20746,38.80670627,-76.90257496,301-899-5159 Main,2
995605680,"Kaizo Health Chiropractic & Rehabilitation - Fairfax, Va",3925 Chain Bridge Rd,Fairfax,VA,22030,38.84815823,-77.30621205,(703) 890-2222 Work,2
995274400,Bethesda Spine And Posture,4733 Elm Street,Bethesda,MD,20814,38.9825854,-77.09401158,301-656-2435,2
994842782,"Pain And Rehab Center Of Maryland - Capitol Heights, Md",525 Eastern Ave Ne,Fairmount Heights,MD,20743,38.89669781,-76.91418421,(301) 925-4367 Fax,2
993703512,Thomas Dennis,128 Lubrano Drive,Annapolis,MD,21401,38.98591054,-76.55208292,410-544-4263 Main,1
993722861,Ati Physical Therapy - Catonsville,836 N Roling Road,Catonsville,MD,21228,39.28238084,-76.75405692,443-514-0560 Main,1
996705531,"Collins Chiropractic - Prince Frederick, Md",810 N. Solomons Island Road,Prince Frederick,MD,20678,38.55346561,-76.59234327,(410) 414-3345 Main,1
996701927,"Maryland Healthcare Clinics - Owings Mills, Md",5 Park Center Court,Owings Mills,MD,21117,39.39938209,-76.75373208,(888) 570-0088 Main,1
993706348,"Maryland Healthcare Clinics - Columbia, Md",5570 Sterrett Place,Columbia,MD,21044,39.21912354,-76.8569095,443-545-5353 Main,1
993709552,"Absolute Chiropractic Care - Lanham, Md",9470 Annapolis Road,Lanham,MD,20706,38.96545446,-76.84507814,301-577-1800 Main,1
993713024,"Pro Perform Spinal Health & Rehab - National Harbor, Md",145 Fleet Street,National Harbor,MD,20745,38.7846183,-77.01443529,301-705-7800 Main,1
993713632,"Multi-Specialty Health Care - Hyattsville, Md",7503 Annapolis Road,Hyattsville,MD,20784,38.9499219,-76.88643244,888-807-2778 Main,1
993722766,"Novacare Rehabilitation - Dover, De",128 Greentree Drive,Dover,DE,19904,39.159995,-75.555612,302-674-4192 Main,1
996675194,"Rx Wellness - Alexandria, Va",3543 W Braddock Rd,Alexandria,VA,22302,38.82709948,-77.08939724,(703) 578-1900 Work,1
996668361,Rebound Integrative Health & Sports Clinic - Temple Hills,3611 Branch Avenue,Temple Hills,MD,20748,38.84463377,-76.95073882,(240) 930-3066 Work,1
993726318,"Absolute Chiropractic Care - Oxon Hill, Md",5210 Indian Head Highway,Oxon Hill,MD,20745,38.818065,-76.999033,301-839-0500 Main,1
993724575,"Ballenger Chiropractic, P.A.",9632 Deereco Road,Timonium,MD,21093,39.452904,-76.638546,410-252-1000 Main,1
996490715,"Clearway Pain Solutions - Annapolis, Md",810 Bestgate Rd,Annapolis,MD,21401,38.99416697,-76.53741535,(667) 444-4307 Work,1
993886050,"Alexander Chiropractic Center - California, Md",22930 Three Notch Rd,California,MD,20619,38.297423,-76.507039,(301) 737-4007,1
994518555,"Active Physical Therapy - California, Md",22599 Mac Arthur Blvd,California,MD,20619,38.287827,-76.486659,301-737-3403 Fax,1
996605625,Eric R. Schmitt,7525 Greenway Center Drive,Greenbelt,MD,20770,38.99190525,-76.88176481,(301) 430-5263 Main,1
996174730,John F. Koloski,2024 West St,Annapolis,MD,21401-3029,38.98313875,-76.5352953,(240) 439-9764 Personal Mobile,1
996237563,Susquehanna Spine & Rehab,2105 Laurel Bush Rd,Bel Air,MD,21015-6185,39.49914,-76.324354,(443) 512-0025 Personal Mobile,1
996605037,Active Life Physical Therapy,1447 York Road,Lutherville,MD,21093,39.420141,-76.614934,(410) 842-0115 Work,1
996302056,"Ameriwell Chiropractic - Bowie, Md",3233 Superior Ln,Bowie,MD,20715,38.97845362,-76.7326465,301-576-0500 Work,1
996593018,Neuropro Concussion Clinic,1110 Benfield Blvd,Millersville,MD,21108,39.09446379,-76.63183795,(901) 229-0480 Work,1
996374028,"Active Physical Therapy - District Heights, Md",5416 Silver Hill Road,District Heights,MD,20747-2039,38.85252717,-76.9132692,301-420-3249,1
996705567,"Maryland Orthopedics - Laurel, Md",545 Main Street,Laurel,MD,20707,39.10753743,-76.85136116,(301) 776-2000 Main,1
